Congener,E,S,A,B,V,L
1,1.48,1.07,0,0.2,1.447,6.336
2,1.51,1.05,0,0.18,1.447,6.667
3,1.5,1.05,0,0.18,1.447,6.718
4,1.6,1.22,0,0.2,1.569,6.815
5,1.63,1.2,0,0.18,1.569,7.168
6,1.63,1.2,0,0.18,1.569,7.146
7,1.62,1.2,0,0.18,1.569,7.042
8,1.62,1.2,0,0.18,1.569,7.197
9,1.63,1.2,0,0.18,1.569,7.001
10,1.66,1.22,0,0.2,1.569,6.765
11,1.66,1.18,0,0.16,1.569,7.477
12,1.65,1.18,0,0.16,1.569,7.531
13,1.65,1.18,0,0.16,1.569,7.528
14,1.65,1.18,0,0.16,1.569,7.365
15,1.65,1.18,0,0.16,1.569,7.58
16,1.75,1.35,0,0.17,1.691,7.647
17,1.74,1.35,0,0.17,1.691,7.521
18,1.75,1.35,0,0.17,1.691,7.48
19,1.72,1.35,0,0.17,1.691,7.284
20,1.78,1.33,0,0.15,1.691,7.978
21,1.77,1.33,0,0.15,1.691,7.907
22,1.77,1.33,0,0.15,1.691,8.03
23,1.78,1.33,0,0.15,1.691,7.66
24,1.75,1.35,0,0.17,1.691,7.487
25,1.77,1.33,0,0.15,1.691,7.852
26,1.78,1.33,0,0.15,1.691,7.81
27,1.76,1.35,0,0.17,1.691,7.608
28,1.76,1.33,0,0.15,1.691,7.904
29,1.77,1.33,0,0.15,1.691,7.722
30,1.74,1.35,0,0.17,1.691,7.39
31,1.77,1.33,0,0.15,1.691,7.862
32,1.74,1.35,0,0.17,1.691,7.667
33,1.77,1.33,0,0.15,1.691,8.01
34,1.78,1.33,0,0.15,1.691,7.758
35,1.8,1.31,0,0.13,1.691,8.341
36,1.79,1.31,0,0.13,1.691,8.102
37,1.79,1.31,0,0.13,1.691,8.392
38,1.8,1.31,0,0.13,1.691,8.223
39,1.8,1.31,0,0.15,1.691,8.14
40,1.9,1.48,0,0.15,1.814,8.48
41,1.89,1.48,0,0.15,1.814,8.386
