"date","TA","Pr","WS","WD","QV"
2018-01-01,256.45,100740,5.97,315.8,0.000155076573121428
2018-01-01 01:00:00,255.39,100780,6.06,313.7,0.00012811183868359
2018-01-01 02:00:00,254.44,100810,6.18,312,0.000107711187498242
2018-01-01 03:00:00,253.49,100840,6.3,310.8,9.0671654320072e-05
2018-01-01 04:00:00,252.65,100880,6.26,309.8,7.75758528124303e-05
2018-01-01 05:00:00,251.98,100910,6.3,310.7,6.77162332112679e-05
2018-01-01 06:00:00,251.54,100930,6.38,311.3,6.17767408787406e-05
2018-01-01 07:00:00,251.13,100970,6.25,310.7,5.74832528461699e-05
2018-01-01 08:00:00,250.76,100990,6.11,308,5.42613209663501e-05
2018-01-01 09:00:00,250.28,100990,6.15,305,5.05321155261472e-05
2018-01-01 10:00:00,249.85,100990,6.25,302.1,4.74464772164293e-05
2018-01-01 11:00:00,249.55,101020,6.34,299.4,4.54056861853076e-05
2018-01-01 12:00:00,249.51,101060,6.5,299.2,4.5096970928879e-05
2018-01-01 13:00:00,249.92,101110,6.7,301.7,4.78605431581998e-05
2018-01-01 14:00:00,251.3,101150,7.25,305.5,5.96605169854921e-05
2018-01-01 15:00:00,252.58,101190,7.18,307.8,7.29758192507689e-05
2018-01-01 16:00:00,253.97,101190,6.82,307.8,9.14149298672278e-05
2018-01-01 17:00:00,255.67,101140,6.47,307.1,0.000120432457287016
2018-01-01 18:00:00,257,101070,6.15,303.9,0.000150871897397392
2018-01-01 19:00:00,257.88,101040,5.98,301.3,0.000175946955293087
2018-01-01 20:00:00,258.22,101050,5.83,299.6,0.000188498516732326
2018-01-01 21:00:00,257.62,101070,5.44,297.2,0.000176378352318098
2018-01-01 22:00:00,255.52,101090,4.74,292.3,0.00013180386141405
2018-01-01 23:00:00,254.1,101120,4.57,285.5,0.000110222673378532
2018-01-02,253.25,101130,4.58,280.6,9.9027873113258e-05
2018-01-02 01:00:00,252.77,101120,4.78,281.2,9.12817241239364e-05
2018-01-02 02:00:00,252.46,101090,4.82,283.2,8.59125819061692e-05
2018-01-02 03:00:00,252.26,101070,4.73,282.6,8.26360517856771e-05
2018-01-02 04:00:00,252.26,101040,4.7,279.4,8.1732559741001e-05
2018-01-02 05:00:00,252.19,100990,4.74,274,7.98676989837462e-05
2018-01-02 06:00:00,251.99,100950,4.84,269.3,7.62927980197711e-05
2018-01-02 07:00:00,251.78,100920,4.92,265.6,7.30997380872878e-05
2018-01-02 08:00:00,251.77,100880,5.28,264.9,7.27906354725675e-05
2018-01-02 09:00:00,252.05,100830,5.69,266.3,7.63697872209662e-05
2018-01-02 10:00:00,252.03,100800,5.69,266.4,7.58211562287038e-05
2018-01-02 11:00:00,251.86,100790,5.57,264.6,7.32188399639865e-05
2018-01-02 12:00:00,251.69,100770,5.59,261.3,7.07089598565171e-05
2018-01-02 13:00:00,251.57,100750,5.72,257.3,6.88522322744236e-05
2018-01-02 14:00:00,252.52,100720,6.26,253.7,8.02757843619471e-05
2018-01-02 15:00:00,254.07,100690,6.46,249.4,0.000102602321282639
2018-01-02 16:00:00,255.8,100620,6.72,244.6,0.000137021704965206
2018-01-02 17:00:00,257.76,100500,7.31,242.8,0.00018822512042632
2018-01-02 18:00:00,259.41,100350,8.04,244.7,0.00024206904593354
2018-01-02 19:00:00,260.21,100210,8.35,242.5,0.000275382957270836
2018-01-02 20:00:00,260.54,100080,8.74,240.9,0.000279796439869377
2018-01-02 21:00:00,259.77,99970,8.53,235.6,0.000251806700716858
2018-01-02 22:00:00,258.13,99840,7.85,225.1,0.000207615065396068
2018-01-02 23:00:00,257.27,99710,8.62,216.1,0.000188681021684851
2018-01-03,256.77,99630,8.27,216.8,0.000178866334648849
2018-01-03 01:00:00,256.22,99620,7.5,220.4,0.000165234525564095
2018-01-03 02:00:00,255.94,99510,7.73,214.3,0.000158806870401595
2018-01-03 03:00:00,256.27,99380,8.27,210.9,0.000166540271647367
2018-01-03 04:00:00,256.79,99260,8.34,209.5,0.000179619882882314
2018-01-03 05:00:00,257.34,99160,8.24,210.1,0.000195575630847386
2018-01-03 06:00:00,258.03,99070,8.11,212.4,0.000219927629296177
2018-01-03 07:00:00,258.84,99010,7.68,216.9,0.000257252902236255
2018-01-03 08:00:00,259.43,98950,6.86,220.9,0.000292673633222388
2018-01-03 09:00:00,259.88,98900,6.1,225.9,0.000322180902427592
2018-01-03 10:00:00,260.28,98870,5.53,234.4,0.000349413590984852
2018-01-03 11:00:00,260.58,98870,5.6,251.4,0.000369288220517152
2018-01-03 12:00:00,260.72,98870,4.97,267.3,0.000383115510504598
2018-01-03 13:00:00,260.86,98890,4.74,283.4,0.000396706216776868
2018-01-03 14:00:00,261.75,98910,5.33,301.6,0.000453313235135953
2018-01-03 15:00:00,262.62,98960,6.22,314,0.000483930546927221
2018-01-03 16:00:00,263.09,99010,6.82,316.1,0.000474473977467771
2018-01-03 17:00:00,263.45,99010,7.17,314.8,0.00048633800790615
2018-01-03 18:00:00,263.76,99010,7.39,316.3,0.000506158112390458
2018-01-03 19:00:00,263.95,99040,7.45,318.6,0.000520167493978383
2018-01-03 20:00:00,263.91,99100,7.46,319.6,0.000515197180547609
2018-01-03 21:00:00,263.32,99180,7.21,320.5,0.000474379752412435
2018-01-03 22:00:00,262.13,99260,6.25,320.9,0.000410021748345635
2018-01-03 23:00:00,261.34,99320,6.01,322,0.000369434218722751
2018-01-04,260.93,99390,6.08,325.1,0.000348172772415625
2018-01-04 01:00:00,260.34,99440,6.11,327.4,0.000318011738833821
2018-01-04 02:00:00,259.19,99480,6.05,327.6,0.000267099066413025
2018-01-04 03:00:00,258.17,99510,6.11,326.6,0.000228505194482337
