"date","TA","Pr","WS","WD","QV"
2018-01-01 00:00:00,259.25,103700,5.1,310,0.000177787808987615
2018-01-01 01:00:00,258.15,103740,5.7,320,0.000151301401951585
2018-01-01 02:00:00,257.55,103780,4.6,310,0.000134555218406508
2018-01-01 03:00:00,256.45,103800,5.1,310,0.00011428050209497
2018-01-01 04:00:00,255.95,103820,6.2,320,9.81748797883149e-05
2018-01-01 05:00:00,255.35,103870,4.6,310,8.70984396332295e-05
2018-01-01 06:00:00,254.85,103880,5.1,300,7.07370686491539e-05
2018-01-01 07:00:00,253.75,103920,6.2,310,5.97990742615422e-05
2018-01-01 08:00:00,253.15,103940,5.7,310,5.5904359365385e-05
2018-01-01 09:00:00,252.55,103960,5.7,300,4.94603479734529e-05
2018-01-01 10:00:00,252.05,103960,6.7,300,4.67413776932477e-05
2018-01-01 11:00:00,252.05,103970,5.7,300,4.46415837254612e-05
2018-01-01 12:00:00,251.45,104020,6.2,300,4.16790763189759e-05
2018-01-01 13:00:00,250.95,104030,5.1,290,3.93619507648479e-05
2018-01-01 14:00:00,250.35,104060,4.6,290,3.67319199231833e-05
2018-01-01 15:00:00,250.95,104110,6.2,290,3.93317043625775e-05
2018-01-01 16:00:00,252.05,104150,6.7,290,4.66561078825616e-05
2018-01-01 17:00:00,253.15,104120,5.7,290,5.58077134837874e-05
2018-01-01 18:00:00,254.25,104070,5.1,280,7.36088000433771e-05
2018-01-01 19:00:00,255.35,104030,4.6,260,8.31626151046075e-05
2018-01-01 20:00:00,255.95,104000,4.6,260,9.29112193328084e-05
2018-01-01 21:00:00,255.95,104020,4.6,270,9.28933552736809e-05
2018-01-01 22:00:00,255.35,104050,4.6,270,8.31466300171071e-05
2018-01-01 23:00:00,254.85,104110,4.1,280,7.86400686128279e-05
2018-01-02 00:00:00,254.25,104110,3.6,270,7.35805189333154e-05
2018-01-02 01:00:00,253.75,104120,4.1,280,6.95882065588406e-05
2018-01-02 02:00:00,253.75,104120,3.1,260,6.95882065588406e-05
2018-01-02 03:00:00,252.55,104110,3.1,260,5.76336472408326e-05
2018-01-02 04:00:00,252.55,104090,3.6,260,5.76447210362903e-05
2018-01-02 05:00:00,252.05,104070,3.1,260,5.44863024913476e-05
2018-01-02 06:00:00,252.05,104000,2.6,260,5.45229759187762e-05
2018-01-02 07:00:00,252.05,103940,2.6,270,5.4554449600735e-05
2018-01-02 08:00:00,252.05,103910,2.6,280,5.16906833359865e-05
2018-01-02 09:00:00,252.05,103880,3.1,270,5.17056113161372e-05
2018-01-02 10:00:00,251.45,103860,2.6,270,4.83068364774291e-05
